decided to give it a shot,0.0000001679,0.0099369970,0.3734218881
fried rice and an egg roll,0.0000001665,0.0098510904,0.6394253238
judge a book by its cover,0.0000001500,0.0088762326,0.4225086733
ordered the sweet and sour chicken,0.0000001476,0.0087322770,0.4796035209
best chinese food in the valley,0.0000001425,0.0084337735,0.2737142857
hole in the wall chinese food,0.0000001406,0.0083188949,0.5399719047
i ordered the general tso's chicken,0.0000001390,0.0082230584,0.4193759760
i've had in a long time,0.0000001343,0.0079471789,0.2837142857
favorite chinese restaurant in the valley,0.0000001300,0.0076907177,0.5491172456
just the right amount of spice,0.0000001232,0.0072907163,0.2739774436
you get a lot of food,0.0000001232,0.0072888425,0.2739070295
chinese food i have ever had,0.0000001112,0.0065818327,0.2937142857
hard to find good chinese food,0.0000001025,0.0060685957,0.3939070295
chinese food i have ever eaten,0.0000001025,0.0060640910,0.3936146318
wouldn't go out of my way,0.0000000993,0.0058792184,0.2623601190
really wanted to like this place,0.0000000963,0.0057018585,0.2142698413
one of the best chinese restaurants,0.0000000961,0.0056870748,0.2137142857
the best chinese food in town,0.0000000897,0.0053057324,0.2525528628
by far the best chinese food,0.0000000873,0.0051691756,0.2839070295
my go to place for chinese,0.0000000781,0.0046229571,0.2539070295
hands down the best chinese food,0.0000000765,0.0045255690,0.4039070295
on my way home from work,0.0000000708,0.0041904762,0.2137142857
have been going here for years,0.0000000661,0.0039144547,0.1996371882
a huge fan of chinese food,0.0000000625,0.0037001455,0.2641903853
our go to place for chinese,0.0000000624,0.0036920817,0.2636146318
have been coming here for years,0.0000000567,0.0033537224,0.1596371882
one of the best chinese food,0.0000000513,0.0030358152,0.2709465032
worst chinese food i have ever,0.0000000379,0.0022444362,0.1602527473
chinese food this is the place,0.0000000378,0.0022380416,0.3195923365
but you get what you pay,0.0000000207,0.0012269035,0.0796371882
go to place for chinese food,0.0000000177,0.0010472374,0.1869318742
decided to give it a try,0.0000000125,0.0007422969,0.0100000000
hole in the wall chinese restaurant,0.0000000096,0.0005680050,0.0405555556
have never had a bad meal,0.0000000047,0.0002808901,0.0105555556
this is my favorite chinese restaurant,0.0000000027,0.0001626206,0.0105555556
i decided to try this place,0.0000000011,0.0000676937,0.0032222222
i have never had a bad,0.0000000010,0.0000568005,0.0405555556
the best i have had in,0.0000000007,0.0000410831,0.0026666667
part of the meal was the,0.0000000003,0.0000186741,0.0026666667
when it comes to chinese food,0.0000000003,0.0000155618,0.0005555556
if you are in the area,0.0000000003,0.0000155618,0.0005555556
this is the best chinese food,0.0000000002,0.0000147837,0.0005555556
this is one of my favorite,0.0000000002,0.0000140056,0.0005555556
this little hole in the wall,0.0000000002,0.0000124494,0.0005555556
at the end of the meal,0.0000000002,0.0000124494,0.0005555556
i have had in a long,0.0000000002,0.0000101152,0.0005555556
you get a ton of food,0.0000000001,0.0000085590,0.0005555556
this is one of those places,0.0000000001,0.0000077809,0.0005555556
for the first time last night,0.0000000001,0.0000077809,0.0005555556
i would not recommend this place,0.0000000001,0.0000062247,0.0005555556
are in the mood for chinese,0.0000000001,0.0000054466,0.0005555556
to be one of my favorite,0.0000000001,0.0000046685,0.0005555556
