gai,89
woods,14
hanging,70
bringing,74
wooden,20
wednesday,41
stereotypical,18
cooking,300
ching,26
china,1461
kids,270
spotty,14
golden,288
music,160
therefore,34
circumstances,10
wang,10
want,1753
absolute,66
travel,58
wrong,621
welcomed,35
tam's,11
fit,73
screaming,28
fix,156
fin,93
kfc,12
service,6108
needed,321
feeling,258
dozen,68
mostly,226
mouth,274
scream,11
saying,267
tempted,17
thai,556
rich,111
rice,6508
plate,797
altogether,13
nicely,168
lots,525
letting,15
tendons,17
much,2629
fry,249
spit,44
dave,11
spin,10
k,49
saltiness,19
hong,496
split,135
boiled,205
supper,13
corporate,24
ham,23
had,10892
beloved,14
har,39
has,2888
palazzo,23
crowd,112
begin,53
bottom,133
match,47
shoots,53
suffice,11
else's,19
nicest,27
servings,89
role,14
roll,1104
intend,11
decision,48
chain,143
whoever,10
chair,33
choice,511
stays,29
exact,48
minute,201
cooks,126
skewer,25
ground,67
address,54
yangtse,13
working,250
opposed,23
originally,56
following,83
conscious,13
mango,179
pulled,213
years,1254
jia,15
jin,18
faves,27
overpowering,40
quarter,16
bursting,14
receipt,50
entering,46
salads,27
seriously,303
internet,14
grandma,33
modest,17
gordon,11
saving,42
ong,11
one,5194
mignon,15
wandering,16
turned,188
locations,86
opposite,33
buffet,624
printed,18
wynn,165
inconsistent,28
could've,49
planet,15
enjoys,17
awards,10
s,216
potstickers,275
west,159
wants,64
mekong,21
photos,66
former,50
situation,54
visually,16
singapore,240
edges,22
steamed,645
being,1237
sums,14
traffic,30
preference,31
world,196
seating,174
couldn't,500
grub,47
tvs,17
divine,28
bubble,13
with,15600
pull,61
rush,122
tripe,22
dirty,242
watched,67
cream,410
waving,11
tricky,11
caused,16
beware,71
midwest,30
norm,43
small,1405
quicker,18
past,365
pass,152
anywho,14
full,934
hash,13
november,10
experience,1271
prior,68
followed,60
more,3813
door,478
company,100
learn,43
knocked,19
huge,1024
intended,15
jiang,42
resemble,12
overcooked,231
replied,27
paper,138
signs,37
smiling,45
saucy,40
bummer,40
sauce,4408
colleague,12
everytime,81
courses,60
piping,142
shocking,11
operation,21
inquired,17
scoops,10
definition,15
benedict,11
moderately,20
master,21
tummy,43
sell,52
fermented,13
mian,27
also,3748
sometimes,386
ugh,51
blended,13
overwhelmed,25
wraps,206
gooey,19
devoured,21
insane,25
delicately,13
last,1315
bell,134
acted,16
despite,170
expanded,12
budget,67
pressed,19
xiao,68
cuisine,489
chin's,28
parents,157
indonesian,20
couple,716
sorbet,23
firecracker,13
deserved,16
deserves,62
into,1005
middleton,10
tasting,377
opens,22
hawaiian,70
intestines,26
paired,13
diverse,30
chat,41
land,19
beverage,46
forks,27
video,11
fifteen,12
survey,10
makes,543
thats,82
customer,641
clients,23
process,45
merlot,19
tsingtao,14
realized,102
lame,35
wife's,41
perfect,706
meantime,15
hainan,11
mediocre,341
realize,87
peking,252
glasses,93
bump,20
books,13
',59
nowadays,11
chilli,52
mainland,14
could,1982
chilly,15
scene,49
soothing,12
ordering,773
stomach,186
false,13
tonight,285
dishes,3212
joe's,35
thanksgiving,14
jar,19
jam,16
styrofoam,80
stuff,537
guessing,33
frame,13
staring,35
ahwatukee,14
honey,422
hahaha,13
stuffing,20
off,1772
phad,11
web,21
wee,17
wei,169
wet,47
eateries,26
gambling,27
pies,43
garlicky,30
become,154
choosing,14
passion,30
pressure,12
swimming,43
yrs,12
bagged,11
tossed,72
places,1570
excitement,10
placed,189
problem,363
compared,225
nonetheless,65
lately,46
compares,25
details,36
behold,12
repeat,78
zhou,44
compete,12
searched,24
yikes,17
stinky,12
messy,28
panda,1185
machines,13
schezwan,22
nine,10
separated,15
recipes,33
indicated,16
provide,102
nuts,51
appreciate,127
coffee,75
safe,86
roommate,28
reasonably,220
l,95
dingy,23
reasonable,692
feeds,15
dumping,11
barrier,57
leftovers,346
fixe,17
flawless,10
another,1185
approximately,26
john,16
dogs,13
intestine,32
wasted,39
flavorful,631
contents,10
convenient,161
nobody,59
aunt,24
reserve,12
cashews,36
runs,53
horrendous,21
away,1005
drawn,17
handful,41
visited,166
kitchen,589
essentially,32
tone,18
tong,17
tons,318
tony,14
gracious,20
cons,52
fuss,20
hang,35
hand,506
wong's,143
mid,43
thanks,179
shout,11
cooler,14
sparse,26
night,1385
born,38
hassle,18
confusing,36
asking,189
adorable,11
peel,43
breaded,138
wasting,17
refills,106
test,51
update,130
let's,125
scallions,88
songs,11
concept,38
silverware,34
layers,13
dissatisfied,12
turns,34
soooo,62
gut,12
guy,422
cost,225
shared,201
hadn't,113
sending,12
pillow,24
regardless,66
extra,686
wonderfully,29
chix,11
chip,16
didn't,2333
bird's,10
chin,133
lounge,31
economy,24
product,33
disgusted,23
produce,20
approx,11
serving,364
ended,404
still,1842
mochi,18
spacious,39
nom,21
non,255
introduce,17
not,13087
now,1679
nor,118
drop,687
yeah,193
wrap,79
year,421
furthermore,19
blink,12
ring,35
tomorrow,50
caught,63
remotely,23
appreciated,63
bugs,17
importantly,36
america,34
attempting,12
steady,16
discovered,86
snack,71
suspects,17
honeydew,12
glaze,25
madness,11
jeans,10
miu's,55
neon,22
foot,34
death,19
gonna,81
fortune,253
nuggets,26
exciting,42
stare,17
start,373
stars,1493
seasoned,213
allergic,22
omelet,17
default,15
poor,287
pool,22
monte,47
month,172
dumpling,287
congee,116
decide,122
random,67
ass,53
streets,10
scallops,144
learned,68
inspired,32
base,87
marginal,16
ask,902
almost,801
grill,119
anytime,65
roommates,11
chopsticks,95
friendliest,20
slammed,14
evening,209
szechuan,344
starbucks,22
heavy,156
miss,279
safety,10
houses,14
american,478
horse,18
blossom,50
station,98
hundred,17
grew,76
grey,11
toward,41
stains,10
wasnt,66
randomly,20
cave,12
caliber,15
hired,10
feels,79
combinations,42
hype,33
culture,30
close,726
locals,54
pictures,117
missing,139
wouldn't,486
forgotten,31
entree's,19
empty,332
lived,221
lives,46
liver,10
pace,28
pack,40
grand,136
fatty,129
ratings,55
obviously,156
consistency,112
reviewed,33
reviewer,50
brewed,10
questioned,12
showing,17
success,19
eel,16
een,12
popular,114
lips,15
obnoxious,18
negatives,10
smothered,30
wouldnt,30
tofu,1112
placing,36
aftertaste,15
tableside,11
similar,250
ordered,4990
recommendation,97
amounts,31
department,46
smiles,33
smiled,24
e,155
friendly,2234
wave,23
telling,100
michael,13
watered,40
thinly,25
jump,15
pancake,99
chopstix,25
manage,24
charming,21
meet,97
pulling,37
fare,171
scoop,39
including,272
walnut,372
ridiculously,58
brocolli,25
university,24
slide,10
special,1695
cause,149
times,1705
bitch,18
you're,1090
wrapper,37
wrapped,96
catered,20
relatives,13
gelatinous,33
glendale,26
operated,38
nightmare,16
tend,98
kee,48
key,39
hits,76
tuesday,39
tastier,38
thanked,12
cent,20
smoking,17
surface,10
campus,26
parts,52
northwest,16
party,333
http,69
impeccable,43
advertised,40
loss,22
necessary,22
lost,138
lose,48
home,1367
leery,12
steaming,58
wendy,41
nightclub,20
previously,62
tenderloin,50
additional,98
north,124
fountains,75
strawberries,21
highest,29
display,44
beats,35
ingredients,413
star,1069
stay,282
foil,19
additionally,18
else,896
myun,11
sichuan,181
consists,27
buddy,43
sorry,242
likely,115
men,21
met,96
someone's,10
fantastic,486
slices,147
sliced,198
guests,81
survive,13
room,520
movies,13
root,21
foods,213
amazing,1263
third,100
before,1425
personal,112
crew,19
chatty,11
combination,278
runny,23
glazed,40
downright,17
skins,20
forgot,158
debit,25
lettuce,299
downside,62
hungover,25
palace,339
ginger,333
tells,48
annoyed,31
restaurant's,36
northeast,13
weekends,53
celery,91
appetizer,507
earn,15
ears,18
artificial,11
omg,115
weary,11
cousin,32
suggested,92
lanterns,18
puts,28
basis,50
tiny,212
basic,144
basil,43
entered,43
lovely,124
sooooo,34
ugly,14
ceilings,14
seven,41
cant,103
cans,10
realizing,11
meets,23
unicorn,17
youre,12
yen,12
yea,22
yep,46
yes,580
yet,530
stray,16
royal,13
save,145
patience,11
deal,500
somehow,76
elderly,14
platters,15
dear,24
carts,40
microwave,34
carte,44
chilean,34
inedible,91
afternoon,106
thinner,23
managers,23
flying,13
awhile,100
marinated,57
weekend,185
happening,16
father,37
advised,27
round,127
unexpected,17
dealing,14
filler,42
fillet,49
suspect,30
filled,329
box,218
boy,104
bok,115
boo,29
merely,22
saki,15
sake,92
visit,793
making,322
fuck,20
sample,67
jellyfish,33
basket,12
shoes,11
group,409
interesting,191
policy,14
tucked,65
lunch,4091
own,409
thinks,22
waiter,617
funky,36
frequent,110
first,2204
speaking,86
bobo,27
boba,182
wongs,39
server,709
lick,10
himself,29
pastry,31
upside,13
ultimate,12
arguing,21
complaints,115
newer,12
treasure,18
enthusiasm,12
get,5194
gee,55
seared,37
malaysian,19
morning,97
seat,140
wonder,115
satisfying,103
enough,1404
across,287
coupons,75
restroom,50
sketchy,33
among,83
considering,230
judging,25
squash,11
wake,14
sound,70
sleeping,11
protein,40
extended,19
consisted,60
outdoor,21
flavor,1835
clueless,13
outs,18
drenched,47
knife,45
each,791
visits,112
pockets,13
coupon,198
camelback,12
spicy,2595
spice,412
again,2530
u,166
allergy,12
preserved,55
enjoying,60
baidu,18
puffs,584
vinegary,15
sitting,325
jalape,19
winning,18
ramen,89
zero,68
perspective,16
associate,12
c'mon,15
newspaper,22
specialize,14
recall,38
specializes,10
sucks,122
remain,16
minimum,81
numbers,19
needs,191
mapo,62
stix,48
stir,376
coming,805
dragon,300
through,471
messed,51
primary,12
mystery,38
repeating,12
they'll,72
humble,19
cockroach,23
mmm,37
extraordinary,36
beginning,41
needing,16
ton,504
couch,16
eggs,132
charm,30
services,34
businesses,46
chock,13
cell,23
idiots,11
express,1090
breast,90
doubled,11
restaurants,1566
expert,26
subpar,31
point,399
expensive,492
rivals,11
peppery,26
peppers,273
assorted,51
grains,15
concoction,17
strips,83
task,11
iffy,14
shape,26
alternative,58
rundown,15
cut,301
cup,216
cuz,61
source,11
snob,28
blech,14
knock,33
absolutely,468
epic,20
delish,141
satisfactory,12
zha,15
constant,19
cure,33
appetizing,51
cafe,276
reputation,16
mayonnaise,21
cater,38
utterly,13
cooked,1069
vietnamese,76
pleasing,21
dessert,387
entire,300
busier,16
havent,19
carlo,47
access,21
apologetic,17
packing,15
spite,14
honor,29
cha,20
chi,12
hammered,10
closing,79
didnt,130
syrupy,17
varied,28
varies,14
profile,12
watch,181
bartenders,16
eggplants,11
rices,14
frying,22
tso,107
flair,20
tsos,23
approached,13
clarify,11
reached,12
explanation,13
have,11698
throat,19
payment,17
occasion,52
doughy,45
thicker,40
knowledge,18
chilies,29
regularly,68
starch,45
perfection,103
fixed,42
taiwanese,63
joke,61
equal,23
trips,37
it's,5559
it'd,17
welcoming,100
hubs,22
frustrating,16
squid,151
partner,66
nevertheless,24
raving,38
stores,20
recommending,24
smart,30
like,7577
vibrant,13
admitted,12
hair,85
happens,53
screwed,18
conference,15
introduced,42
socks,20
female,26
rushed,75
coke,58
flip,12
detail,34
stirred,11
appetite,63
whatsoever,45
school,148
direct,13
nail,19
blue,44
hide,10
selected,27
leaves,94
settled,43
meats,167
meaty,44
would,4388
excellent,1215
abundance,23
rangoon,235
overheard,11
overpowered,13
description,43
imo,30
drawback,12
saturday,227
laid,31
nite,16
newly,17
days,397
heck,82
soda,162
wowed,16
hangout,11
frankly,33
tourists,20
lunchtime,34
traditionally,13
thoroughly,62
yucky,18
rancid,15
entertaining,19
overpriced,290
colors,26
buddha's,12
wedding,22
grandmother,14
finger,30
hopefully,66
discovery,17
however,1114
news,47
fault,81
mildly,29
curries,14
curried,11
combos,105
n,240
dumplings,1165
broth,608
chilis,10
screw,49
greeted,217
shortly,35
ocean,11
mcclintock,11
cherry,12
gave,689
burnt,94
spongy,10
dinner,1996
ensure,23
ahi,18
stuck,111
flavour,40
sometime,41
when,4987
setting,95
picture,77
tasteful,22
football,11
faster,46
deliveries,25
rou,12
row,28
unfamiliar,10
tanks,101
impressive,101
level,169
standards,80
pork,3270
irritated,10
goes,206
witch,13
entrees,575
prep,12
today,478
cases,14
edible,167
figure,90
critic,11
fourth,18
inform,18
ahh,12
ppl,13
shy,26
basha's,11
yup,13
yui,14
turn,127
yuk,26
yum,319
turf,14
dressed,41
cards,45
measure,17
wandered,15
surf,16
sure,1572
later,476
cheat,10
cheap,1186
spaces,18
bummed,16
laveen,13
period,46
turkey,14
featuring,13
direction,16
case,192
cash,146
cast,13
granted,58
frequented,14
week,554
delicate,56
delectable,26
without,651
relief,10
justify,15
lets,51
competition,24
redeeming,11
mood,194
moon,33
diced,33
mandalay,41
there,6826
grass,11
taste,1875
tasty,1835
overflowing,10
deserve,57
wife,598
numbing,32
platter,174
research,16
apartment,37
sue,11
sub,97
sun,87
sum,617
sui,19
version,178
decoration,23
donuts,26
charge,268
garnish,18
flat,119
flag,38
caveat,11
salted,108
rather,433
occasionally,36
lighting,71
adventure,21
short,273
susan,26
brothy,11
broths,11
avenue,10
somebody,24
generously,28
adventurous,69
instructions,12
accommodated,12
weight,23
alcohol,59
hill,23
friday,183
fallen,13
traveled,11
story,91
store,181
gps,12
luckily,75
king,108
kind,921
voucher,21
customize,17
inconvenience,11
traditional,325
lying,14
mom's,23
