fast food,1.0000000000
shangri la,0.9988785366
san francisco,0.9979235176
dim sum,0.9977753457
sea bass,0.9976911312
bok choy,0.9976911312
iced tea,0.9976248420
credit card,0.9976168370
foo yung,0.9973310887
bean curd,0.9973310887
cream cheese,0.9973070569
spare ribs,0.9972672505
chinese food,0.9971253501
snow pea,0.9969052558
credit cards,0.9969052558
corn starch,0.9969052558
walking distance,0.9965569971
language barrier,0.9965569971
goo gai,0.9965569971
baby bok,0.9965569971
fried rice,0.9963330059
lettuce wrap,0.9962416853
chop suey,0.9962207046
iron chef,0.9960640938
saving grace,0.9960080279
monte carlo,0.9960080279
los angeles,0.9960080279
food poisoning,0.9959224438
bitter melon,0.9957964607
taco bell,0.9957430436
mandalay bay,0.9957430436
peking duck,0.9956949060
stir fry,0.9956629732
fortune cookie,0.9956393770
peanut butter,0.9955920207
sunday brunch,0.9954963910
scallion pancakes,0.9954963910
duck sauce,0.9952681544
napa cabbage,0.9952526493
great wall,0.9952061857
onion pancake,0.9952057397
general chicken,0.9951897646
black bean,0.9951593580
stir fry paradise,0.9951423186
bay area,0.9950348231
panda express,0.9948368251
white sauce,0.9946523261
americanized chinese food,0.9945805118
shark fin,0.9944988163
hong kong,0.9944968757
shaved ice,0.9942490164
chilean sea bass,0.9942063093
green beans,0.9941485567
shanghai club,0.9941063730
lamb skewers,0.9940633061
rice noodle,0.9940544372
fried chicken,0.9939398950
breakfast buffet,0.9937915937
soy milk,0.9936644784
rice cake,0.9936252602
ice cream,0.9935524808
sun prairie,0.9935067227
casa grande,0.9934498883
foo yong,0.9933311906
chinese cuisine,0.9932732398
chicken soup,0.9932599384
comfort food,0.9932044338
soy sauce,0.9931827241
pf chang,0.9929893103
sticky rice,0.9929890195
peanut sauce,0.9927331760
spicy sauce,0.9927205274
hot sauce,0.9927205274
san diego,0.9925172371
char siu,0.9924610152
spicy beef,0.9922284869
great price,0.9922284869
white rice,0.9921459629
food court,0.9920817102
fish tank,0.9920218197
xo sauce,0.9918265526
chicken fried,0.9917178353
chinese restaurants,0.9917056911
sweet and sour sauce,0.9915683955
green onions,0.9914830148
bamboo shoots,0.9914516162
fish fillet,0.9914024287
chicken wings,0.9911923714
black pepper,0.9911393920
hot pot,0.9910224606
steamed rice,0.9907259001
brown rice,0.9901884143
kung pao chicken,0.9901754387
noodle soup,0.9901166890
queen creek,0.9900175019
bell pepper,0.9899964887
beef noodle soup,0.9899739371
oyster sauce,0.9898912827
tap water,0.9896881264
green onion,0.9893798035
chow mein,0.9887227854
yummy yummy,0.9884391478
rice noodles,0.9880452800
chinese american,0.9878888218
snow peas,0.9878492234
fortune cookies,0.9878492234
sesame seeds,0.9876099444
pork belly,0.9873172375
spring roll,0.9872362790
chin chin,0.9867873728
shopping center,0.9865569971
moo goo,0.9865569971
grocery store,0.9865569971
fellow yelpers,0.9865569971
conveniently located,0.9865569971
brown sauce,0.9864789999
fried fish,0.9864610728
cultural center,0.9863246106
chili sauce,0.9862927874
miso soup,0.9862177500
egg roll,0.9861829741
roast duck,0.9860361288
fried egg,0.9858385047
great customer service,0.9858205274
las vegas,0.9858131162
pork ribs,0.9856427007
house special fried rice,0.9854091196
gold coast,0.9851918004
stir fried,0.9851224922
gluten free,0.9849957534
standard chinese,0.9848982243
asian cuisine,0.9848684365
milk tea,0.9846647646
chilean sea,0.9842063093
deep fried,0.9839187251
great taste,0.9838262112
lao ching hing,0.9834498883
light rail,0.9830637532
fried shrimp,0.9822284869
fish balls,0.9817866187
thai iced,0.9817822941
chili oil,0.9817576192
pepper beef,0.9817375136
cashew chicken,0.9815773032
authentic chinese,0.9812428265
strip mall,0.9812254055
hoisin sauce,0.9805448462
lemon chicken,0.9800179598
date night,0.9794743541
mu shu pork,0.9793887656
szechuan chicken,0.9793498066
veggie fried rice,0.9787411109
passion fruit,0.9783067108
orange sauce,0.9781592371
red peppers,0.9779804782
lunch combos,0.9778090322
main course,0.9776010972
jasmine tea,0.9774910413
cell phone,0.9772313647
green bean,0.9772215125
blah blah,0.9769103144
lazy susan,0.9763418838
chinese sausage,0.9763400106
sesame oil,0.9758365546
rock cod,0.9757430436
green tea,0.9754135754
main courses,0.9752057397
